date,time,temperature,visibility,pressure,humidity,gusts_wind,wind_speed,wind_dir,total_cloud,low_cloud,medium_cloud,high_cloud,sort_prep
2023-07-17,1,16.419580078125023,93.5928161468506,4.0,5.0,3.4269924759864807,3.5609985005293177,N,2.0,1.0,0.0,0.0,0.0
2023-07-17,2,16.063134765625023,86.56885636901856,4.0,5.0,4.52122038602829,3.5270971704470724,N,2.0,2.0,1.0,0.0,0.0
2023-07-17,3,16.261621093750023,88.20049375915528,4.0,5.0,5.09375,3.111861698905871,N,7.0,7.0,7.0,0.0,0.0
2023-07-17,4,15.858056640625025,85.7018952331543,4.0,5.0,5.1171875,2.897178276956673,NE,5.0,4.0,4.0,4.0,0.0
2023-07-17,5,15.486718750000025,63.364,4.0,5.0,4.813509285449982,2.90642077550917,N,5.0,5.0,5.0,0.0,0.0
2023-07-17,6,16.227441406250023,50.77136938476563,4.0,5.0,6.03673267364502,3.9561662924817433,NE,7.0,8.0,7.0,0.0,0.0
2023-07-17,7,16.762597656250023,54.69599951171875,4.0,5.0,7.316586792469025,4.52258952789858,NE,6.0,6.0,6.0,1.0,0.0
2023-07-17,8,17.425195312500023,78.00135229492187,4.0,4.0,8.321561813354492,4.471205853189655,NE,7.0,7.0,7.0,7.0,0.0
2023-07-17,9,17.963037109375023,73.51256567382812,4.0,4.0,8.398800253868103,4.608335028650901,NE,7.0,7.0,7.0,0.0,0.0
2023-07-17,10,18.667626953125023,80.93599951171875,4.0,4.0,8.673686027526855,4.915165042936335,NE,6.0,6.0,0.0,0.0,0.0
2023-07-17,11,19.354394531250023,81.84418530273437,4.0,3.0,9.173500061035156,4.956718977176612,NE,5.0,5.0,0.0,0.0,0.0
2023-07-17,12,20.274804687500023,82.5048515625,4.0,3.0,8.458904027938843,4.8161506107172105,NE,5.0,6.0,6.0,0.0,0.0
2023-07-17,13,18.680078125000023,82.21087866210938,4.0,4.0,8.309431910514832,4.198218993484881,NE,5.0,6.0,6.0,0.0,3.0
2023-07-17,14,17.157128906250023,36.178243896484375,4.0,5.0,8.636984884738922,4.205020371431903,NE,8.0,0.0,8.0,8.0,3.0
2023-07-17,15,18.295556640625023,85.53152661132812,4.0,4.0,8.717070698738098,4.688539583449958,NE,3.0,0.0,3.0,3.0,3.0
2023-07-17,16,19.453027343750023,93.50953662109376,4.0,3.0,7.5549821853637695,4.65406119809339,N,8.0,0.0,8.0,8.0,0.0
2023-07-17,17,19.351708984375023,66.03241439819335,4.0,4.0,8.578125,5.032925076802208,N,7.0,0.0,8.0,8.0,0.0
2023-07-17,18,18.544335937500023,83.30691333007813,4.0,4.0,10.28125,5.246970706951643,N,8.0,7.0,8.0,8.0,0.0
2023-07-17,19,18.916894531250023,84.80955297851563,4.0,4.0,6.503403265029192,3.726656546272,NE,5.0,0.0,5.0,5.0,0.0
2023-07-17,20,18.174707031250023,83.2964150390625,4.0,4.0,7.707308903336525,3.70291290837726,NE,1.0,0.0,1.0,0.0,0.0
2023-07-17,21,17.366601562500023,90.91999951171876,4.0,4.0,6.158355809748173,3.848851408091719,NE,0.0,0.0,0.0,0.0,0.0
2023-07-17,22,16.708642578125023,85.00032666015625,4.0,4.0,5.078125,4.160958738368844,NE,0.0,0.0,0.0,0.0,0.0
2023-07-17,23,15.889794921875025,90.40902221679688,4.0,4.0,5.131049387156963,4.2535912768121165,NE,0.0,0.0,0.0,0.0,0.0
2023-07-18,0,15.281396484375025,88.12543432617187,4.0,5.0,5.5812811851501465,4.206557177708908,NE,0.0,0.0,0.0,0.0,0.0
2023-07-18,1,15.105615234375025,84.71199951171874,4.0,5.0,5.336986541748047,4.135780253977219,NE,0.0,0.0,0.0,0.0,0.0
2023-07-18,2,14.588281250000025,87.700080078125,4.0,5.0,6.784673392772675,3.528941903380996,NE,0.0,0.0,0.0,0.0,0.0
2023-07-18,3,14.104394531250025,85.24249795532226,4.0,5.0,4.42276793718338,3.4711878019153968,NE,2.0,2.0,0.0,0.0,0.0
2023-07-18,4,13.610986328125025,85.23586499023438,4.0,5.0,3.589179828763008,3.056279013725128,N,7.0,6.0,1.0,0.0,0.0
2023-07-18,5,13.946191406250025,87.42062280273437,4.0,5.0,3.640625,3.685786339006545,NE,7.0,7.0,7.0,3.0,0.0
2023-07-18,6,14.482324218750025,83.83239013671874,4.0,5.0,4.428357005119324,3.709512348025541,NE,8.0,8.0,8.0,0.0,0.0
2023-07-18,7,15.110009765625025,80.95185009765625,4.0,5.0,5.517983019351959,3.301892322753881,NE,8.0,8.0,8.0,0.0,0.0
2023-07-18,8,16.105859375000023,83.55340483093262,4.0,5.0,7.736446857452393,4.390756426737979,NE,8.0,8.0,0.0,0.0,0.0
2023-07-18,9,17.233789062500023,80.54455786132813,4.0,4.0,8.560809552669525,5.00634325491041,NE,7.0,7.0,0.0,0.0,0.0
2023-07-18,10,17.577294921875023,86.12894165039063,4.0,4.0,9.340728521347046,4.9094285947765846,E,7.0,7.0,0.0,0.0,0.0
2023-07-18,11,18.343164062500023,86.10956494140625,4.0,3.0,9.949767589569092,5.455337706943604,E,4.0,4.0,0.0,0.0,0.0
2023-07-18,12,18.667871093750023,82.57474951171875,4.0,3.0,10.128682136535645,5.326415859550497,E,7.0,7.0,0.0,0.0,0.0
2023-07-18,13,19.086328125000023,79.55012475585937,4.0,3.0,9.61774969100952,5.551371580809669,E,6.0,6.0,6.0,6.0,0.0
