,date,time,temperature,visibility,pressure,humidity,gusts_wind,u_wind,v_wind,prep_1h,snow_1h,gradient_snow,total_cloud,low_cloud,medium_cloud,high_cloud,type_prep,sort_prep
1072,2023-02-20,16,274.42747497558594,50871.90576171875,98381.4375,0.8895289897918701,9.361568808555603,3.8859710693359375,-3.197673797607422,0.0,0.0,-9.0,0.46875,0.40966796875,0.0,0.0,-9.0,0.0
1073,2023-02-20,17,274.10316467285156,51046.54000854492,98463.0625,0.8731361031532288,6.9609375,3.2939891815185547,-3.661609649658203,0.0,0.0,-9.0,0.19140625,0.18701171875,0.0,0.0,-9.0,0.0
1074,2023-02-20,18,273.6299743652344,54078.663482666016,98556.0625,0.8512694239616394,8.452117025852203,3.271697998046875,-4.077643394470215,0.0,0.0,-9.0,0.21484375,0.181640625,0.0,0.0,-9.0,0.0
1075,2023-02-20,19,273.00238037109375,58673.49754333496,98690.875,0.811008870601654,8.124476253986359,2.33056640625,-3.9450626373291016,0.0,0.0,-9.0,1.0,1.0,0.990234375,0.0,-9.0,0.0
1076,2023-02-20,20,272.3269805908203,62884.0,98763.25,0.8280006647109985,7.208561763167381,1.288543701171875,-2.810882568359375,0.0,0.0,-9.0,0.95263671875,0.966796875,0.97998046875,0.0,-9.0,0.0
1077,2023-02-20,21,271.35826110839844,61754.3479309082,98803.5,0.8732596039772034,4.405116438865662,0.7358970642089844,-2.6691036224365234,0.0,0.0,-9.0,0.78076171875,0.7158203125,0.71142578125,0.0,-9.0,0.0
1078,2023-02-20,22,270.68353271484375,63734.03616333008,98881.625,0.9010432958602905,3.1891168542206287,0.9526777267456055,-1.859034538269043,0.0,0.0,-9.0,0.490234375,0.0,0.49609375,0.0,-9.0,0.0
1079,2023-02-20,23,270.8942413330078,59078.78623962402,98963.3125,0.9167100787162781,2.851740837097168,0.3579568862915039,-1.488128662109375,0.0,0.0,-9.0,0.697265625,0.0,0.75732421875,0.0,-9.0,0.0
1080,2023-02-21,0,270.3556823730469,45854.37939453125,99045.75,0.9313579201698303,2.067968428134918,0.5867576599121094,-0.129547119140625,0.0,0.0,-9.0,0.99365234375,1.0,0.99072265625,0.0,-9.0,0.0
1081,2023-02-21,1,270.1329345703125,1745.3366241455078,99144.625,0.9560176134109497,1.403689943253994,0.2931632995605469,-0.5368194580078125,0.0,0.0,-9.0,0.94580078125,0.9560546875,0.0,0.0,-9.0,0.0
1082,2023-02-21,2,270.39874267578125,9286.870849609375,99263.9375,0.9754599332809448,0.953125,0.3108940124511719,-0.5154571533203125,0.0,0.0,-9.0,1.0,1.0,0.0,0.0,-9.0,0.0
1083,2023-02-21,3,270.52166748046875,50931.139892578125,99373.875,0.9589243531227112,1.2890625,-0.21495628356933594,-0.6043548583984375,0.0,0.0,-9.0,0.9013671875,0.8935546875,0.0,0.0,-9.0,0.0
1084,2023-02-21,4,270.6205596923828,36979.547119140625,99524.6875,0.9796134233474731,1.54524427652359,0.0976724624633789,-1.067474365234375,0.0,0.0,-9.0,0.96142578125,0.9736328125,0.0,0.0,-9.0,0.0
1085,2023-02-21,5,270.8565216064453,34839.636474609375,99654.125,0.9651033878326416,1.3462169766426086,-0.06086254119873047,-1.2672080993652344,0.0,0.0,-9.0,0.9814453125,0.994140625,0.0,0.0,-9.0,0.0
1086,2023-02-21,6,271.1727752685547,35064.7763671875,99791.4375,0.9599006175994873,2.8515625,-0.7275047302246094,-1.5590009689331055,0.0,0.0,-9.0,1.0,1.0,1.0,0.0,-9.0,0.0
1087,2023-02-21,7,271.4490509033203,2417.785400390625,99987.8125,0.9637266397476196,3.2099926471710205,-0.6791238784790039,-2.0589866638183594,0.2578125,0.326171875,1.0,0.99658203125,1.0,0.99951171875,0.0,1.0,1.0
1088,2023-02-21,8,271.82957458496094,2286.828369140625,100199.0625,0.9737186431884766,3.7332384884357452,-0.21977710723876953,-2.571073532104492,0.79345703125,1.3896484375,1.0,0.98974609375,0.9921875,0.994140625,0.994140625,1.0,1.0
1089,2023-02-21,9,272.0818786621094,14524.362060546875,100386.0625,0.9357795119285583,6.142445653676987,-0.6355743408203125,-4.028463363647461,0.244140625,0.35595703125,1.0,0.97119140625,0.9658203125,0.97314453125,0.0,1.0,1.0
1090,2023-02-21,10,272.4453125,8570.097412109375,100558.375,0.931450605392456,6.12260502576828,-0.5711126327514648,-3.9936695098876953,0.109375,0.1513671875,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1091,2023-02-21,11,272.40061950683594,24693.36572265625,100733.0,0.8841092586517334,5.8029944896698,-0.1410045623779297,-4.109865188598633,0.02197265625,0.07275390625,-9.0,0.99951171875,1.0,0.0,0.0,-9.0,1.0
1092,2023-02-21,12,272.4674377441406,42083.5595703125,100901.6875,0.8451422452926636,6.643286734819412,0.3192634582519531,-4.7562360763549805,0.0,0.00830078125,-9.0,1.0,0.99462890625,0.0,0.0,-9.0,0.0
1093,2023-02-21,13,272.0840301513672,42849.16650390625,101035.5,0.8586860299110413,7.7766324281692505,0.9484043121337891,-4.593799591064453,0.0,0.0,-9.0,0.99462890625,0.99560546875,0.0,0.0,-9.0,0.0
1094,2023-02-21,14,271.6211853027344,39239.17236328125,101161.5625,0.8329821825027466,6.609375,1.2958908081054688,-4.694653511047363,0.0,0.0,-9.0,0.98828125,0.9921875,0.0,0.0,-9.0,0.0
1095,2023-02-21,15,271.1916809082031,32982.8486328125,101259.0,0.8115758895874023,8.1015625,0.589756965637207,-4.5217390060424805,0.0,0.0,-9.0,1.0,1.0,0.0,0.0,-9.0,0.0
1096,2023-02-21,16,270.5396423339844,50948.968017578125,101333.4375,0.7862290143966675,7.10372656583786,-0.17189693450927734,-3.5596752166748047,0.0,0.0,-9.0,0.98974609375,1.0,0.0,0.0,-9.0,0.0
1097,2023-02-21,17,270.3602600097656,56218.34262084961,101440.125,0.8036295771598816,5.310342073440552,0.6517553329467773,-2.5210742950439453,0.0,0.0,-9.0,1.0,1.0,0.0,0.0,-9.0,0.0
1098,2023-02-21,18,270.39613342285156,36636.078125,101528.5,0.8248683214187622,3.7789080142974854,1.2860183715820312,-1.4743833541870117,0.0,0.0,-9.0,1.0,1.0,0.0,0.0,-9.0,0.0
1099,2023-02-21,19,270.53419494628906,41078.15365600586,101584.1875,0.8289162516593933,3.796875,1.6299171447753906,-1.2325410842895508,0.0,0.0,-9.0,1.0,1.0,0.0,0.0,-9.0,0.0
1100,2023-02-21,20,270.44384765625,52037.5673828125,101639.4375,0.8173548579216003,4.395204842090607,1.6120271682739258,-2.2075300216674805,0.0,0.0,-9.0,1.0,0.98486328125,0.0,0.0,-9.0,0.0
1101,2023-02-21,21,270.2486572265625,51933.921478271484,101697.625,0.8315032124519348,4.370706617832184,1.2569026947021484,-1.8722476959228516,0.0,0.0,-9.0,0.66064453125,0.70654296875,0.0,0.0,-9.0,0.0
1102,2023-02-21,22,270.0838165283203,23667.162353515625,101745.875,0.8324273228645325,4.710390225052834,1.4368982315063477,-1.4205942153930664,0.0,0.0,-9.0,0.8974609375,0.9306640625,0.0,0.0,-9.0,0.0
1103,2023-02-21,23,269.76336669921875,54302.523025512695,101782.125,0.8076466917991638,3.6790758594870567,1.2779512405395508,-1.491434097290039,0.0,0.0,-9.0,0.96240234375,0.966796875,0.20654296875,0.0,-9.0,0.0
1104,2023-02-22,0,269.68511962890625,54177.985427856445,101829.25,0.7972598075866699,3.8827787041664124,1.378321647644043,-1.4818077087402344,0.0,0.0,-9.0,1.0,1.0,0.9931640625,0.0,-9.0,0.0
1105,2023-02-22,1,269.612060546875,54682.0022277832,101861.5,0.79584801197052,4.078125,1.4081087112426758,-1.5364294052124023,0.0,0.0,-9.0,0.98046875,0.994140625,0.990234375,0.0,-9.0,0.0
1106,2023-02-22,2,269.5755920410156,54596.0,101910.6875,0.808458149433136,2.9386489018797874,1.163980484008789,-1.371720314025879,0.0,0.0,-9.0,0.92724609375,0.9384765625,0.0,0.0,-9.0,0.0
1107,2023-02-22,3,269.48793029785156,57859.48277282715,101935.0625,0.8201186060905457,2.700612388551235,1.1743965148925781,-1.4840679168701172,0.0,0.0,-9.0,1.0,1.0,0.0,0.0,-9.0,0.0
1108,2023-02-22,4,269.4305114746094,13412.0,101984.0625,0.8393980264663696,2.790396995842457,1.1823968887329102,-1.7355966567993164,0.0,0.0,-9.0,0.87548828125,0.90576171875,0.92431640625,0.0,-9.0,0.0
1109,2023-02-22,5,269.44281005859375,50109.683990478516,102032.6875,0.8663962483406067,2.0853065103292465,0.7039127349853516,-1.0892839431762695,0.0,0.0,-9.0,0.9951171875,1.0,0.99560546875,0.0,-9.0,0.0
1110,2023-02-22,6,268.94175720214844,43882.20231628418,102066.8125,0.878603458404541,2.2561118714511395,0.13364028930664062,-0.6825408935546875,0.0,0.0,-9.0,1.0,1.0,1.0,0.0,-9.0,0.0
1111,2023-02-22,7,269.3738250732422,46470.26974487305,102102.875,0.8621752262115479,1.6077236011624336,-0.13990402221679688,-0.5720062255859375,0.0,0.0,-9.0,1.0,1.0,1.0,0.0,-9.0,0.0
1112,2023-02-22,8,269.95005798339844,38042.07263183594,102147.0625,0.8211310505867004,1.373095914721489,0.3364439010620117,-0.8049774169921875,0.0,0.0,-9.0,0.8916015625,0.86474609375,0.0,0.0,-9.0,0.0
1113,2023-02-22,9,270.6203918457031,10551.603057861328,102171.1875,0.7903342247009277,0.5483286082744598,-0.18891620635986328,-0.4905242919921875,0.0,0.0,-9.0,0.94189453125,0.9541015625,0.95556640625,0.0,-9.0,0.0
1114,2023-02-22,10,271.26914978027344,47149.40188598633,102183.625,0.7369527220726013,1.9617141149938107,-0.018381118774414062,0.048797607421875,0.0,0.00048828125,-9.0,0.95751953125,0.96533203125,0.966796875,0.0,-9.0,0.0
1115,2023-02-22,11,271.63153076171875,50500.0,102188.1875,0.6773269772529602,2.6441835165023804,-0.6753225326538086,0.5198822021484375,0.0,0.0,-9.0,0.97802734375,0.9853515625,0.0,0.0,-9.0,0.0
1116,2023-02-22,12,271.4772491455078,48452.0,102191.0,0.6905368566513062,2.3749929666519165,-1.0155363082885742,1.0579071044921875,0.0,0.0,-9.0,0.96923828125,0.974609375,0.0,0.0,-9.0,0.0
1117,2023-02-22,13,271.44664001464844,19112.68701171875,102176.1875,0.7081561088562012,2.7421875,-1.0872650146484375,1.585052490234375,0.0,0.0,-9.0,1.0,0.998046875,0.99755859375,0.99755859375,-9.0,0.0
1118,2023-02-22,14,271.4540100097656,29306.078125,102165.0625,0.7052621841430664,3.1484375,-1.3349285125732422,2.021636962890625,0.0,0.0,-9.0,1.0,1.0,1.0,1.0,-9.0,0.0
1119,2023-02-22,15,271.04844665527344,51041.96603393555,102139.875,0.7043612599372864,3.8649226427078247,-1.2937726974487305,2.0179290771484375,0.0,0.0,-9.0,0.9921875,0.98828125,0.98974609375,0.98974609375,-9.0,0.0
1120,2023-02-22,16,270.8255157470703,50265.0848236084,102119.8125,0.7587957382202148,3.8359375,-1.0739336013793945,1.7630462646484375,0.0,0.0,-9.0,1.0,1.0,1.0,1.0,-9.0,0.0
1121,2023-02-22,17,270.6524658203125,50718.433837890625,102109.9375,0.7465417385101318,3.78125,-0.7184391021728516,1.934295654296875,0.0,0.0,-9.0,1.0,0.998046875,0.99951171875,0.99951171875,-9.0,0.0
1122,2023-02-22,18,270.54058837890625,54376.45936584473,102083.1875,0.7084400653839111,3.3671875,-0.45865440368652344,2.091461181640625,0.0,0.0,-9.0,0.99951171875,0.998046875,0.9990234375,0.9990234375,-9.0,0.0
1123,2023-02-22,19,270.56036376953125,56195.701904296875,102045.0625,0.6864226460456848,3.950295150279999,-0.8995790481567383,2.136962890625,0.0,0.0,-9.0,1.0,1.0,0.99951171875,0.99951171875,-9.0,0.0
1124,2023-02-22,20,270.57618713378906,55468.999267578125,101994.625,0.7273470759391785,3.7782306894659996,-0.8259954452514648,2.182769775390625,0.0,0.0,-9.0,0.98876953125,0.98583984375,0.9873046875,0.9873046875,-9.0,0.0
